organization_id,store_code,booth_code,patrol_date,read_time,in_meter,in_diff,out_meter,out_diff,theoretical_stock,prize_restock_count,prize_name,prize_cost,replace_cost,payout_rate,note,revenue,source,input_method,booth_id
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-04-28,2026-04-28T12:00:00.000Z,80,,26,,,,たまごっちミニチュアポシェット,770,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,ロイヤルビンゴ,2026-04-28,2026-04-28T12:00:00.000Z,,15,,,,,1100,,,,,1500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノ７,2026-04-28,2026-04-28T12:00:00.000Z,,16,,,,,1100,,,,,1600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-04-28,2026-04-28T12:00:00.000Z,323,,48,,,,モンチッチフルーツMC,572,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,ロイヤルビンゴ,2026-05-02,2026-05-02T12:00:00.000Z,76,15,0,8,1,,1100,1100,,,,1500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノ７,2026-05-02,2026-05-02T12:00:00.000Z,29,16,0,15,0,,1100,0,0,,,1600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-04-28,2026-04-28T12:00:00.000Z,172,,38,,,,フルーツスクイーズ,209,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,ロイヤルビンゴ,2026-05-05,2026-05-05T12:00:00.000Z,64,15,0,12,0,,1100,0,0,,,1500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノ７,2026-05-05,2026-05-05T12:00:00.000Z,39,16,0,15,0,,1100,0,0,,,1600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-04-28,2026-04-28T12:00:00.000Z,163,,38,,,,ベーカリースクイーズ,286,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,ロイヤルビンゴ,2026-05-09,2026-05-09T12:00:00.000Z,137,17,2,10,2,,1100,2200,0.16058394160583941,,,1700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノ７,2026-05-09,2026-05-09T12:00:00.000Z,49,18,2,13,2,,1100,2200,0.4489795918367347,,,1800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-02,2026-05-02T12:00:00.000Z,182,102,27,1,13,0,たまごっちミニチュアポシェット,770,770,0.07549019607843137,,10200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,ロイヤルビンゴ,2026-05-14,2026-05-14T12:00:00.000Z,96,18,1,11,1,,1100,1100,0.11458333333333333,,,1800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノ７,2026-05-14,2026-05-14T12:00:00.000Z,67,20,2,11,2,,1100,2200,0.3283582089552239,,,2000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-02,2026-05-02T12:00:00.000Z,372,49,49,1,7,0,モンチッチフルーツMC,572,572,0.11673469387755102,,4900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,ロイヤルビンゴ,2026-05-16,2026-05-16T12:00:00.000Z,51,18,0,11,0,,1100,0,0,,,1800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノ７,2026-05-16,2026-05-16T12:00:00.000Z,29,21,1,10,1,,1100,1100,0.3793103448275862,,,2100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-02,2026-05-02T12:00:00.000Z,221,49,44,6,8,4,フルーツスクイーズ,209,1254,0.2559183673469388,,4900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,ロイヤルビンゴ,2026-05-18,2026-05-18T12:00:00.000Z,53,19,1,10,1,,1100,1100,0.20754716981132076,,,1900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノ７,2026-05-18,2026-05-18T12:00:00.000Z,44,22,1,11,1,,1100,1100,0.25,,,2200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-02,2026-05-02T12:00:00.000Z,246,83,40,2,60,0,ベーカリースクイーズ,286,572,0.06891566265060241,↓↓↓設定の数値を記入していって！,8300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,ロイヤルビンゴ,2026-05-22,2026-05-22T12:00:00.000Z,53,19,0,11,0,,1100,0,0,,,1900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノ７,2026-05-22,2026-05-22T12:00:00.000Z,32,22,0,15,0,,1100,0,0,,,2200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-05,2026-05-05T12:00:00.000Z,307,125,28,1,12,0,たまごっちミニチュアポシェット,770,770,0.0616,ｱｼｽﾄ80 ｷｬｯﾁ13 ﾙｰｽﾞ9 ﾘﾀｰﾝ10,12500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,ロイヤルビンゴ,2026-05-25,2026-05-25T12:00:00.000Z,54,20,1,10,1,,1100,1100,0.2037037037037037,,,2000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノ７,2026-05-25,2026-05-25T12:00:00.000Z,31,23,1,14,1,,1100,1100,0.3548387096774194,,,2300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-05,2026-05-05T12:00:00.000Z,406,34,53,4,7,1,パンケーキスクイーズ,572,0,0,60 27 10 13,3400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-05,2026-05-05T12:00:00.000Z,254,33,49,5,8,0,フルーツスクイーズ,209,836,0.25333333333333335,70 22 7 10　取れすぎ！2000～1500円で1個のペースに調整して,3300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-05,2026-05-05T12:00:00.000Z,335,89,45,5,55,0,ベーカリースクイーズ,286,1430,0.16067415730337078,50 30 9 19 　補充無しの時は0入力お願い,8900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-09,2026-05-09T12:00:00.000Z,467,160,30,2,10,0,たまごっちミニチュアポシェット,770,1540,0.09625,,16000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-09,2026-05-09T12:00:00.000Z,435,29,54,1,7,0,パンケーキスクイーズ,572,572,0.19724137931034483,,2900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-09,2026-05-09T12:00:00.000Z,323,69,51,2,8,1,フルーツスクイーズ,209,0,0,,6900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-09,2026-05-09T12:00:00.000Z,446,111,47,2,53,,ベーカリースクイーズ,286,572,0.05153153153153153,,11100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-14,2026-05-14T12:00:00.000Z,591,124,33,3,7,0,たまごっちミニチュアポシェット,770,2310,0.18629032258064515,,12400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-14,2026-05-14T12:00:00.000Z,489,54,56,2,6,0,パンケーキスクイーズ,572,572,0.10592592592592592,,5400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-14,2026-05-14T12:00:00.000Z,342,19,51,0,9,2,フルーツスクイーズ,209,0,0,28 8 10(キャッチが弱いと判断),1900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-14,2026-05-14T12:00:00.000Z,533,87,49,2,51,0,ベーカリースクイーズ,286,572,0.06574712643678161,,8700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-16,2026-05-16T12:00:00.000Z,614,23,33,0,7,5,たまごっちミニチュアポシェット,770,0,0,,2300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-16,2026-05-16T12:00:00.000Z,508,19,56,0,6,4,パンケーキスクイーズ,572,0,0,,1900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-16,2026-05-16T12:00:00.000Z,353,11,51,0,11,-4,フルーツスクイーズ,209,0,0,,1100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-16,2026-05-16T12:00:00.000Z,563,30,51,2,49,0,ベーカリースクイーズ,286,572,0.19066666666666668,,3000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-18,2026-05-18T12:00:00.000Z,715,101,33,0,12,,たまごっちミニチュアポシェット,770,0,0,,10100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-18,2026-05-18T12:00:00.000Z,529,21,57,1,9,,スンスン金カラーがま口,572,572,0.2723809523809524,19 10 12（景品入替）,2100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-18,2026-05-18T12:00:00.000Z,365,12,51,0,7,,ジャグラーサウンドフラッシュDX,209,0,0,28 7 11 （景品入替),1200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-18,2026-05-18T12:00:00.000Z,626,63,52,1,48,,ベーカリースクイーズ,286,286,0.045396825396825394,,6300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-22,2026-05-22T12:00:00.000Z,789,74,34,1,11,0,たまごっちミニチュアポシェット,770,770,0.10405405405405406,,7400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-22,2026-05-22T12:00:00.000Z,560,31,57,0,9,0,スンスン金カラーがま口,572,0,0,,3100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-22,2026-05-22T12:00:00.000Z,424,59,51,0,7,0,ジャグラーサウンドフラッシュDX,1100,0,0,,5900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-22,2026-05-22T12:00:00.000Z,660,34,52,0,48,0,ベーカリースクイーズ,286,0,0,,3400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,817,28,35,1,10,,たまごっちミニチュアポシェット,770,770,0.275,,2800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,574,14,57,0,9,,スンスン金カラーがま口,572,0,0,,1400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,506,82,53,2,5,,ジャグラーサウンドフラッシュDX,1100,2200,0.2682926829268293,,8200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,699,39,53,1,47,,ベーカリースクイーズ,286,286,0.07333333333333333,,3900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,,,,,,,月末在庫金額,,35046,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,,185800,,48,,,トータル原価,,17798,,,18580000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_16,2026-05-25,2026-05-25T12:00:00.000Z,0,,0,,0,,,0,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_30,2026-05-25,2026-05-25T12:00:00.000Z,0,,0,,0,,,0,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,ロイヤルビンゴ,2026-05-25,2026-05-25T12:00:00.000Z,58400,,5,,6,,月末在庫金額,,12100,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノ７,2026-05-25,2026-05-25T12:00:00.000Z,32000,,7,,7,,月末在庫金額,,16500,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_72,2026-05-25,2026-05-25T12:00:00.000Z,0,,0,,0,,月末在庫金額,,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,,6881.481481481482,206444.44444444444,,,,トータル出率,,,0.09579117330462864,,688148.1481481482,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_16,2026-05-25,2026-05-25T12:00:00.000Z,0,0,,,,,,,,,,0,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_30,2026-05-25,2026-05-25T12:00:00.000Z,0,0,,,,,,,,,,0,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,ロイヤルビンゴ,2026-05-25,2026-05-25T12:00:00.000Z,2162.962962962963,64888.88888888889,,,,,原価,6600,0.11301369863013698,,,6488888.888888889,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノ７,2026-05-25,2026-05-25T12:00:00.000Z,1185.1851851851852,35555.555555555555,,,,,原価,7700,0.240625,,,3555555.5555555555,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_72,2026-05-25,2026-05-25T12:00:00.000Z,0,0,,,,,原価,0,,,,0,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,,130059.99999999999,,,,,利益,,112261.99999999999,0.6042088266953712,,13005999.999999998,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_16,2026-05-25,2026-05-25T12:00:00.000Z,0,,,,,,,0,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_30,2026-05-25,2026-05-25T12:00:00.000Z,0,,,,,,,0,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,ロイヤルビンゴ,2026-05-25,2026-05-25T12:00:00.000Z,40880,,,,,,利益,34280,0.586986301369863,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノ７,2026-05-25,2026-05-25T12:00:00.000Z,22400,,,,,,利益,14700,0.459375,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_72,2026-05-25,2026-05-25T12:00:00.000Z,0,,,,,,利益,0,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,,73700,2729.6296296296296,,8188.888888888889,,たまごっちミニチュアポシェット,770,6930,0.09402985074626866,,7370000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_16,2026-05-25,2026-05-25T12:00:00.000Z,0,0,,,0,0,0,0,,,,0,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_30,2026-05-25,2026-05-25T12:00:00.000Z,0,0,,,0,0,0,0,,,,0,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,,25100,929.6296296296297,,6275,,モンチッチフルーツMC,572,2288,0.09115537848605577,,2510000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_16,2026-05-25,2026-05-25T12:00:00.000Z,0,0,,,0,0,0,0,,,,0,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_30,2026-05-25,2026-05-25T12:00:00.000Z,0,0,,,0,0,0,0,,,,0,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,,33400,1237.037037037037,,2783.3333333333335,,フルーツスクイーズ,209,4290,0.1284431137724551,,3340000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_16,2026-05-25,2026-05-25T12:00:00.000Z,0,0,,,0,0,0,0,,,,0,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_30,2026-05-25,2026-05-25T12:00:00.000Z,0,0,,,0,0,0,0,,,,0,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,,53600,1985.1851851851852,,3573.3333333333335,,ベーカリースクイーズ,286,4290,0.08003731343283582,,5360000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_16,2026-05-25,2026-05-25T12:00:00.000Z,0,0,,,0,0,0,0,,,,0,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_30,2026-05-25,2026-05-25T12:00:00.000Z,0,0,,,0,0,0,0,,,,0,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,,185800,,,,,払出合計,,17798,0.09579117330462864,,18580000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_16,2026-05-25,2026-05-25T12:00:00.000Z,0,,,,0,,,0,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,BOOTH_AT_COL_30,2026-05-25,2026-05-25T12:00:00.000Z,0,,,,0,,,0,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,,276200,10229.62962962963,,,,,,,,,27620000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,,193340,0.7,,306888.8888888889,,,,,,,19334000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,,32098,0.11621288921071687,,,,,,,,,3209800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,familyma_gofukumachi,カリーノミニSP,2026-05-25,2026-05-25T12:00:00.000Z,,161242,0.5837871107892831,,,,,,,,,16124200,import_fukuoka_2026,bulk_import,