store_name,machine_name,rental_code,prev_meter,curr_meter,count,amount
下通り店,２千円ガチャ,,22348.0,22660.0,312.0,0.0
南熊本,1000円ガチャ,,9909.0,10011.0,102.0,102000.0
南熊本,BUZZ1,R2068,2530.0,2828.0,298.0,173900.0
南熊本,BUZZ1,R2069,3443.0,4017.0,574.0,152500.0
南熊本,Buzzミニ,R2078,701.0,3182.0,2481.0,248100.0
南熊本,Buzzミニ,R2079,664.0,1247.0,583.0,58300.0
合志,２千円ガチャ,,6742.0,6948.0,206.0,206000.0
合志,BUZZ1,R2014,9801.0,9991.0,190.0,107000.0
合志,500GATCHA,,5970.0,6267.0,297.0,99100.0
合志,セサミW1,R1005,31946.0,32161.0,215.0,69600.0
合志,セサミW2,R1006,52064.0,52157.0,93.0,21500.0
合志,セサミW3,R1052,50587.0,50769.0,182.0,32600.0
合志,セサミW4,R1053,58639.0,58895.0,256.0,52300.0
合志,BUZZ2,R2054,5365.0,5628.0,263.0,132200.0
合志,アンパンマンライド,,86135.0,86299.0,164.0,16400.0
合志,Buzzミニ,R2055,14278.0,17284.0,3006.0,300600.0
菊陽,２千円ガチャ,,16523.0,16833.0,310.0,308000.0
菊陽,BUZZ1,R2058,10546.0,10931.0,385.0,357800.0
菊陽,BUZZスリム,R2062,8983.0,9660.0,677.0,183500.0
宇宿,1000GATCHA,,5351.0,5410.0,59.0,45000.0
宇宿,BUZZ1,R2035,15588.0,16252.0,664.0,167000.0
宇宿,BUZZ２,R2036,14308.0,14521.0,213.0,109400.0
宇宿,クリスタル,R2013,13279.0,13788.0,509.0,50900.0
宇宿,BUZZ3,R2057,4464.0,4761.0,297.0,113300.0
宇宿,Buzzミニ,R2059,14325.0,18451.0,4126.0,412600.0
宇宿,BUZZ4,R2070,9546.0,9818.0,272.0,128600.0
宇宿,BUZZ6,R2071,23731.0,24008.0,277.0,259800.0
天文館,BUZZ1,R2072,23419.0,23561.0,142.0,96000.0
天文館,BUZZ2,R2073,9391.0,9829.0,438.0,204400.0
中央,BUZZ1,R2075,93.0,250.0,157.0,124100.0
中央,BUZZ2,R2076,67.0,248.0,181.0,78400.0
中央,Buzzミニ,R2077,1027.0,3588.0,2561.0,256100.0
川内,ティアラ,,9868.0,9984.0,116.0,116000.0
川内,1000GATCHA,,8650.0,8786.0,136.0,137000.0
川内,BUZZ1,R2031,35146.0,35484.0,338.0,161800.0
川内,BUZZ２,R2037,36154.0,36552.0,398.0,383200.0
川内,500GATCHA,,20125.0,20687.0,562.0,102200.0
川内,クリスタル,R2034,28458.0,28934.0,476.0,47600.0
川内,Buzzミニ,R2041,28677.0,29443.0,766.0,76600.0
川内,Buzzミニ,R2042,27639.0,28886.0,1247.0,124700.0
川内,ジャリクレ＃1,Ｒ2063,4458.0,5203.0,745.0,244500.0
川内,ジャリクレ＃2,Ｒ2067,5038.0,5390.0,352.0,200400.0
川内,トライデッキ,R2074,87407.0,90219.0,2812.0,647700.0
霧島,1000GATCHA,,4244.0,4278.0,34.0,0.0
霧島,ティアラ,,10200.0,10362.0,162.0,0.0
霧島,500GATCHA,,10899.0,11290.0,391.0,0.0
霧島,Buzzミニ,R2044,21752.0,22531.0,779.0,0.0
霧島,クリスタル,R2001,38243.0,38724.0,481.0,0.0
霧島,BUZZ1,R2045,13690.0,14132.0,442.0,0.0
霧島,BUZZ2,R2046,11313.0,11636.0,323.0,0.0
霧島,BUZZ3,R2048,9033.0,9376.0,343.0,0.0
霧島,BUZZ4,R2049,11592.0,12410.0,818.0,0.0
霧島,バーバーカット,R2050,112176.0,114215.0,2039.0,0.0
霧島,Buzzミニ,R2039,16914.0,17736.0,822.0,0.0
霧島,体力測定,,54963.0,55256.0,293.0,0.0
霧島,アンパンマン,,27854.0,28029.0,175.0,0.0
鹿屋,BUZZ1,Ｒ2064,3924.0,4177.0,253.0,0.0
鹿屋,BUZZ2,Ｒ2038,13131.0,13557.0,426.0,0.0
鹿屋,BUZZ3,Ｒ2065,2459.0,2754.0,295.0,0.0
鹿屋,BUZZ4,Ｒ2066,2450.0,2732.0,282.0,0.0
鹿屋,ジャリクレ＃１,Ｒ2061,4363.0,4765.0,402.0,0.0
鹿屋,1000GATCHA,,921.0,991.0,70.0,0.0
鹿屋,1000GATCHA,,1199.0,1255.0,56.0,0.0
鹿屋,500GATCHA,,6398.0,7000.0,602.0,0.0
鹿屋,Buzzミニ,R2040,5913.0,7189.0,1276.0,0.0
鹿屋,Buzzミニ,R2060,19815.0,23580.0,3765.0,0.0
都城,ティアラ,,9021.0,9144.0,123.0,123000.0
都城,1000GATCHA,,3032.0,3096.0,64.0,64000.0
都城,BUZZ1,R6001,3545.0,3917.0,372.0,155000.0
都城,BUZZ2,R6002,3134.0,3500.0,366.0,108000.0
都城,BUZZ3,R6003,2788.0,3081.0,293.0,164200.0
都城,BUZZ4,R6004,3615.0,3957.0,342.0,157500.0
都城,Buzzミニ1,R6005,6061.0,7062.0,1001.0,93000.0
都城,Buzzミニ2,R6006,5785.0,6691.0,906.0,82100.0
都城,Buzzミニ3,R6007,9505.0,10719.0,1214.0,112100.0
都城,Buzzミニ4,R6008,8723.0,11958.0,3235.0,297400.0
都城,ポケクレマルチ,70600827,16780.0,16780.0,0.0,0.0
都城,トリプルクレーン,71261231,20117.0,20117.0,0.0,0.0
都城,ジャリクレ,71602154,1488.0,1488.0,0.0,0.0
都城,物販ガチャ200,BP0318,1368.0,1368.0,0.0,0.0
都城,ガムガチャ100,GB0303,5459.0,5459.0,0.0,0.0
都城,ポケクレマルチ,70600826,17419.0,17419.0,0.0,0.0
都城,物販ガチャ200,BP0763,2046.0,2046.0,0.0,0.0
都城,ガムガチャ100,GB0771,1597.0,1597.0,0.0,0.0
都城,ポケクレマルチ,70600983,22546.0,22546.0,0.0,0.0
都城,1000円ガチャ,,5046.0,5046.0,0.0,0.0
都城,物販ガチャ200,BP1025,3668.0,3668.0,0.0,0.0
都城,ガムガチャ100,GB0139,5352.0,5352.0,0.0,0.0
都城,ポケクレマルチ,70600816,21452.0,21626.0,174.0,27800.0
